Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
7026,857825,1175,111,116,263,682,1092
7027,886551,1208,114,118,272,712,1129
7028,945466,1291,119,128,308,778,1206
7029,971507,1315,120,128,317,786,1222
7030,947002,1291,118,126,316,774,1201
7031,991622,1280,123,127,321,785,1199
7032,979053,1332,123,131,329,796,1228
7033,965299,1336,123,131,329,793,1220
7034,966045,1294,122,126,321,776,1201
7035,903151,1252,114,121,298,736,1143
7036,850773,1195,112,116,270,682,1083
7037,974714,1365,127,136,338,795,1226
7038,875085,1215,113,119,279,711,1109
7039,998377,1392,132,139,332,801,1224
7040,859665,1227,111,115,274,679,1095
7041,1016281,1431,136,141,346,809,1249
7042,804379,1140,107,106,255,615,1007
7043,843897,1221,112,116,276,664,1071
7044,921434,1312,119,131,309,720,1151
7045,902259,1313,126,127,307,716,1132
7046,1008298,1421,137,142,343,803,1237
7047,989226,1418,136,140,346,783,1236
7048,953972,1355,132,135,332,747,1183
7049,887538,1289,128,122,302,704,1106
7050,1014479,1442,138,143,352,813,1254
7051,1039509,1480,140,153,367,838,1286
7052,970328,1401,131,143,330,772,1214
7053,1000186,1420,137,142,348,801,1234
7054,878710,1199,113,115,263,695,1125
7055,899584,1212,114,118,279,715,1141
7056,939628,1254,120,127,302,758,1182
7057,1000507,1294,124,128,318,779,1219
7058,1036295,1322,126,129,331,804,1249
7059,1249401,1458,145,138,378,914,1409
7201,712445,984,87,87,222,519,854
7202,707079,973,86,85,220,505,840
7203,592038,795,67,66,173,397,684
7204,555037,746,65,63,153,372,640
7205,627007,849,72,70,188,425,724
7206,650958,887,75,74,203,451,767
7207,677558,942,79,81,220,485,803
7208,595405,799,67,64,166,391,684
7209,768490,1079,103,93,246,582,935
7210,827384,1190,113,111,275,621,1004
7211,623593,846,71,69,193,430,716
7212,916433,1283,119,125,312,698,1074
7213,780954,1110,103,100,257,568,912
7214,965651,1331,124,129,334,738,1124
7215,902596,1267,118,121,302,683,1059
7216,734731,1047,90,91,235,525,849
7217,771662,1140,100,99,250,558,900
7218,887588,1246,115,118,293,668,1057
7219,971216,1375,132,132,333,756,1176
7220,822975,1172,109,109,273,615,984
7221,998062,1374,132,134,352,769,1183
7222,1052879,1454,147,145,372,824,1260
7223,820393,1166,109,109,273,605,975
7224,1013713,1416,136,140,348,798,1229
7225,1041061,1428,140,142,365,810,1225
7226,1026934,1425,143,141,362,799,1229
7227,1039057,1438,144,140,370,811,1237
7228,613753,851,70,68,179,410,717
7229,511802,708,53,55,131,339,601
7230,566339,799,64,62,156,372,665
7231,522694,732,65,59,148,385,660
7232,697683,964,98,93,214,535,881
7233,597291,836,79,70,180,444,749
7234,575046,787,70,70,167,409,689
7235,518394,713,63,57,147,365,624
7236,648542,886,82,77,195,464,780
7237,692249,941,85,83,210,488,821
7238,949805,1344,129,128,319,738,1139
7239,832277,1208,111,111,280,625,983
7240,1069111,1473,150,150,382,849,1254
7241,950263,1319,126,130,329,728,1091
7401,525555,720,62,59,149,361,617
7402,584675,782,71,66,172,401,684
7403,471029,666,56,51,125,322,570
7404,634868,844,77,73,187,433,730
7405,608875,812,73,70,183,420,702
7406,519615,712,63,59,146,353,606
7407,503506,697,61,57,140,353,600
7408,674693,909,83,81,202,474,792
7409,400383,584,44,43,103,267,513
7410,409010,593,45,43,104,276,521
7411,394045,575,43,42,102,264,502
7412,444418,626,49,46,116,305,543
7413,437945,625,50,45,114,299,538
7414,384529,553,45,44,107,283,489
7415,355442,520,42,40,102,256,467
7416,294335,466,36,35,78,217,419
7417,395511,568,47,45,109,288,499
7418,362282,536,43,41,95,259,477
7419,476754,671,54,50,133,327,582
7420,380799,550,46,44,99,272,486
7421,350997,512,40,39,90,244,449
7422,315844,459,33,36,83,226,406
7423,363256,534,42,40,96,253,470
7424,382370,560,43,40,101,260,492
7425,387574,564,44,40,104,265,494
7426,335323,493,37,38,87,233,442
7427,378847,548,42,40,100,259,480
7428,393985,575,43,42,103,263,498
7429,420675,594,45,43,108,281,516
7430,444408,633,50,45,115,298,541
7431,496312,692,58,55,131,338,591
7432,450205,637,54,49,119,308,550
7433,445540,627,53,50,120,310,547
7434,488073,673,52,55,125,325,583
7435,313629,459,33,35,82,225,406
7436,393353,575,45,41,108,274,499
7437,275634,425,31,31,67,208,377
7438,357709,519,42,39,97,254,458
7439,246782,403,27,26,57,190,360
7440,295998,467,35,33,81,227,415
7601,339133,555,40,35,81,255,459
7602,223531,399,28,25,60,190,355
7603,325205,497,38,36,86,241,445
7604,254497,425,35,28,70,207,378
7605,302279,466,36,34,82,230,413
7606,259459,429,36,29,72,206,382
7607,247549,417,33,29,71,199,374
7608,319775,498,37,38,77,238,438
7609,434806,604,46,46,107,295,533
7610,447977,624,48,49,108,307,541
7611,376382,575,42,42,90,272,487
7801,1215807,1687,173,179,458,1011,1475
7802,1543019,1902,204,206,556,1203,1721
7803,1359226,1799,188,194,513,1129,1594
7804,1387792,1822,191,197,518,1134,1619
7805,1110406,1533,162,162,405,902,1293
7806,1154346,1597,157,168,404,955,1409
7807,1587240,1885,200,203,545,1217,1744
7808,1256286,1723,172,185,455,1078,1548
7809,1596962,1897,199,202,550,1211,1757
7810,1147646,1599,159,169,411,952,1415
7811,1732686,2005,214,212,590,1293,1876
7812,1673306,1966,208,210,587,1264,1830
7813,1732578,2055,220,218,613,1314,1908
7814,1281803,1768,177,192,475,1095,1569
7815,1645692,1971,209,212,585,1253,1817
7816,1716421,2050,217,220,608,1300,1905
7817,1781462,2103,227,228,635,1345,1952
7818,1498284,1822,192,192,521,1178,1666
7819,1561584,1849,197,195,526,1195,1707
7820,1355100,1554,160,148,423,1010,1512
7821,1546726,1743,181,171,481,1143,1687
7822,1595565,1781,185,180,492,1190,1721
7823,1374368,1644,165,162,421,1034,1516
7824,1589362,1796,192,185,504,1181,1706
7825,1345770,1708,171,176,442,1064,1552
7826,1219851,1620,162,170,424,1000,1446
7827,1636349,1898,199,197,540,1221,1767
