Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
2216,508124,285,54,33,143,324,411
2217,590386,375,68,45,168,427,543
2218,484729,248,46,24,143,304,371
2401,534895,299,53,35,164,354,465
2402,563613,337,62,40,199,391,524
2403,517938,295,53,28,163,337,440
2404,541962,310,56,34,172,356,464
2405,514279,294,51,31,166,338,441
2406,502398,306,53,38,180,368,473
2407,549240,312,52,33,177,353,458
2408,511406,294,53,32,162,336,436
2409,530231,286,55,33,166,346,446
2410,547218,300,54,35,185,347,448
2411,393701,225,43,26,140,284,350
2412,263315,158,35,23,93,205,257
2413,451696,226,46,33,150,289,366
2414,423888,244,46,28,144,298,382
2415,520332,293,51,36,163,335,441
2416,313201,185,37,28,121,252,295
2417,220238,168,34,22,93,193,232
2418,521358,283,51,38,168,331,428
2419,310856,187,40,26,114,249,275
2420,332903,181,37,26,114,235,286
2421,167775,173,32,26,92,200,221
2422,427806,209,45,28,125,279,342
2423,454168,258,48,33,159,316,399
2424,285690,196,36,24,103,205,267
2425,355750,199,40,25,121,239,297
2426,236797,175,38,24,95,207,239
2427,256491,184,32,20,96,206,252
2428,273195,168,30,21,98,208,247
2429,70693,92,19,14,45,94,102
2430,87172,124,20,13,53,125,141
2431,292168,173,31,20,103,209,254
2432,206905,174,34,24,88,188,231
2433,76849,101,17,14,51,94,107
2434,165508,157,27,20,71,165,189
2435,131623,137,20,16,69,149,172
2436,158431,149,24,19,78,154,184
2437,142153,159,24,22,74,149,173
2438,159268,158,24,22,77,158,187
2439,117543,146,20,24,68,130,148
2440,159753,168,24,24,79,162,186
2441,119029,143,19,23,62,135,152
2442,110056,141,19,22,62,123,141
2601,592783,336,64,45,189,428,539
2602,550181,304,59,39,188,399,494
2603,563498,320,63,39,174,397,513
2604,499989,299,58,39,167,375,465
2605,425456,243,49,30,145,333,417
2606,579481,326,62,42,181,409,523
2607,460559,270,51,36,165,355,446
2608,444337,266,43,33,137,338,427
2609,607182,373,67,48,199,454,571
2610,405850,220,42,32,142,321,378
2611,489054,256,47,33,157,346,434
2612,533367,299,57,38,158,384,488
2613,484278,282,51,39,166,360,462
2614,430216,220,44,31,150,318,392
2615,595642,338,65,43,203,426,549
2616,530707,291,55,40,180,384,489
2617,544552,313,55,36,177,366,473
2618,620839,364,71,47,206,462,588
2619,320299,179,39,30,114,275,316
2620,579919,339,59,42,191,423,525
2621,438721,225,46,34,140,324,406
2622,621894,365,66,43,219,449,578
2623,522455,259,57,40,164,359,463
2624,425792,233,43,29,132,284,370
2625,156342,128,27,25,80,204,224
2626,454693,244,52,34,164,328,426
2627,243597,213,41,34,131,288,339
2628,453080,246,44,32,142,298,383
2629,454143,239,48,33,155,318,404
2630,420203,234,42,31,145,302,381
2631,425018,229,43,30,139,298,375
2632,466012,257,49,36,155,322,421
2633,424950,232,48,29,156,310,401
2634,293206,185,35,27,112,228,279
2635,193354,153,29,19,87,181,218
2636,232411,151,30,21,100,205,247
2637,239059,167,29,18,93,193,233
2638,212957,166,30,23,101,198,238
2639,304315,179,34,21,104,220,267
2640,206178,176,30,22,101,196,238
2641,252083,185,37,24,105,204,256
2642,107695,134,24,20,75,148,169
2643,137600,153,27,23,81,161,195
2644,111834,137,24,21,73,149,165
2645,132207,140,29,21,75,158,188
2646,121940,142,26,22,75,152,188
2801,350670,224,41,35,120,246,316
2802,240657,171,29,26,90,186,239
2803,115590,117,19,19,70,132,164
2804,210149,184,27,34,102,195,251
2805,141498,144,23,25,85,155,193
2806,299358,211,38,35,114,240,293
2807,186549,168,30,30,104,187,227
2808,196432,178,25,27,101,208,247
2809,226639,178,29,35,100,217,244
2810,227769,189,33,26,108,231,277
2811,175808,152,30,27,93,175,213
2812,180612,179,27,29,105,209,232
2813,154022,133,26,26,86,140,177
2814,151190,136,25,25,83,145,182
2815,206109,182,29,29,117,210,249
2816,156958,131,28,23,80,155,183
2817,176600,144,26,25,88,185,204
2818,141805,142,19,25,91,143,185
2819,133309,115,24,24,77,124,161
2820,143988,122,26,22,84,140,169
2821,176084,158,30,30,108,154,199
2822,204787,175,29,28,110,195,235
2823,247717,176,33,31,107,196,252
2824,157049,142,28,25,92,132,185
2825,113284,84,20,21,80,100,136
3001,266511,188,26,24,76,191,251
3002,221969,175,21,29,69,185,227
3003,169534,160,21,25,75,177,212
3004,258770,207,29,34,84,201,245
3005,154338,163,21,28,72,176,201
3006,379097,195,33,29,102,213,299
3007,296222,202,30,29,77,207,254
3008,264868,146,23,22,48,118,174
3009,310557,175,29,27,84,191,262
3010,158750,165,21,26,60,161,190
3011,140986,140,18,24,56,153,174
3012,292183,187,28,26,94,181,265
3013,448840,226,40,32,124,260,346
3014,394949,202,38,29,115,228,310
3015,127874,151,21,26,56,144,169
3016,313215,192,34,29,96,220,279
3017,138844,141,15,27,53,143,166
3018,82063,96,14,18,33,70,99
3019,308977,194,34,30,101,227,277
3020,431586,217,40,29,105,215,302
3021,213313,159,24,25,83,161,218
3022,154117,148,20,30,65,149,179
3023,166360,151,23,27,81,158,190
3024,132486,128,21,21,51,100,134
3025,178017,159,21,29,78,160,204
3026,314483,211,38,34,114,233,290
3027,140564,159,28,25,70,148,174
3028,137349,137,20,28,72,140,169
3029,97078,109,16,19,40,90,118
3030,165723,142,25,28,81,174,195
3031,115960,113,19,24,62,123,142
3032,211181,164,26,24,73,134,174
3033,83234,93,13,18,49,70,102
3034,295984,174,33,26,83,159,208
3201,556175,332,58,33,161,375,486
3202,553573,315,57,32,157,367,475
3203,632499,396,67,43,184,456,564
3204,442324,244,45,22,129,275,362
3205,429905,222,45,22,122,265,346
3206,515848,299,54,30,141,325,417
3207,557383,331,61,38,162,375,472
3208,508419,295,60,35,156,343,444
3209,463207,265,47,24,125,270,362
3210,495983,274,51,28,143,296,388
3211,330744,166,34,15,83,167,243
3212,451761,231,46,23,127,250,336
3213,362299,181,35,19,83,177,251
3214,189225,133,25,16,63,115,160
3215,287502,138,31,16,77,139,198
3216,284770,128,26,13,70,114,184
3217,238265,123,26,13,70,100,163
3218,153918,113,24,14,63,101,136
3219,226155,117,26,15,61,82,145
3220,90881,107,19,13,49,58,93
3221,163164,120,25,13,57,76,125
3222,59607,98,12,10,29,58,74
3401,181620,135,30,25,93,172,193
3402,166955,129,27,25,95,142,178
3403,161599,132,29,24,95,136,179
3404,158180,119,23,24,89,129,166
3405,119627,87,19,22,84,101,137
3406,133173,79,23,23,83,110,138
3407,112363,80,19,21,78,98,127
3408,119858,82,19,21,77,99,138
3409,131265,89,24,27,78,120,148
3410,128358,83,21,24,82,108,141
3411,97625,61,16,17,72,76,105
3412,119810,86,21,24,73,117,136
3413,132356,84,21,20,85,109,144
3414,123563,75,21,17,82,103,131
3415,102808,78,19,21,60,92,103
3416,108838,60,18,15,74,79,113
3417,123446,98,21,21,77,107,137
3418,124182,78,22,17,83,105,138
3419,119312,71,22,16,85,93,123
3420,88972,50,15,13,45,64,81
3421,137800,98,20,17,94,112,147
3422,171651,126,25,25,115,147,180
3423,180024,138,24,24,121,147,187
3601,123162,116,23,23,71,124,148
3602,165011,144,27,28,87,170,194
3603,116967,110,20,25,65,104,134
3604,130857,113,24,25,71,137,157
3605,143675,128,23,28,75,145,168
3606,130407,112,24,27,71,124,156
3607,122075,115,18,21,58,95,127
3608,133753,125,23,22,68,117,145
3609,134921,107,25,22,74,134,157
3610,118172,76,21,24,67,106,127
3611,120161,110,20,18,54,99,119
3612,114605,106,18,19,57,100,124
3613,131639,121,23,21,67,114,139
3614,133510,126,23,22,67,118,146
3615,103436,91,14,15,48,83,96
3616,113866,71,20,26,65,105,121
3617,128768,111,22,20,67,108,139
3618,121877,101,22,21,69,104,130
3619,114394,100,19,17,59,94,115
3620,133406,122,23,24,72,110,138
3621,119071,101,22,23,69,105,125
3622,118468,98,23,22,73,104,131
3623,113127,87,20,23,64,110,132
3624,113225,84,21,22,67,104,118
3625,121748,104,22,24,70,105,120
3626,97276,66,19,20,57,80,88
4001,23739,40,3,3,13,25,34
4002,46105,73,6,8,18,41,69
4003,25662,33,4,4,14,26,30
4004,30534,43,4,4,14,28,37
4005,5381,7,1,2,3,10,5
4006,20113,25,2,3,13,21,17
4007,55349,72,15,8,24,46,82
4008,31174,34,8,3,16,25,41
4009,58192,82,16,9,25,49,84
4010,65760,112,8,12,17,64,111
4011,67095,118,6,10,19,70,115
4012,81947,124,8,11,23,79,125
4013,63705,111,8,9,19,67,108
4014,53573,93,6,9,15,54,86
4015,67391,114,7,11,19,73,112
4016,53390,92,6,6,14,58,94
4017,57330,97,6,9,18,62,97
4018,83373,131,16,14,23,77,131
4019,66593,118,9,10,19,67,108
4020,81314,128,16,14,21,74,130
4021,112114,153,17,18,29,91,166
4022,72701,127,10,14,20,76,117
4023,44885,78,5,6,14,49,74
4024,90723,136,16,16,25,82,140
4025,225514,181,24,21,42,121,205
4026,120544,167,22,22,38,106,180
4027,44973,63,9,6,18,36,67
4028,108613,150,20,19,40,97,158
4029,99135,142,16,17,29,85,155
4030,107448,148,19,17,37,89,156
4031,98280,138,19,17,34,85,142
4032,95212,146,21,19,33,93,156
4033,84071,121,17,13,31,69,124
4034,109357,154,20,21,46,96,163
4035,103022,153,22,22,37,99,160
4036,87988,121,19,15,33,76,123
4037,27450,46,2,2,5,22,53
4038,55281,90,5,8,15,53,93
4039,37677,63,3,5,8,34,71
4040,60998,81,4,5,12,49,94
4041,73524,105,14,11,29,60,111
4042,29063,49,3,2,6,24,55
4043,49309,81,5,6,13,43,80
4044,58849,79,14,9,22,46,89
4045,73672,110,13,12,25,67,109
4046,10445,16,1,3,6,8,9
4047,4224,8,0,1,3,3,4
4048,12928,20,1,3,6,11,13
4049,20472,41,4,3,6,23,34
4050,19737,28,2,5,10,22,22
4051,10101,15,0,3,5,8,9
4052,8580,15,0,2,5,6,8
4201,78986,117,8,11,20,66,119
4202,218634,170,23,18,35,104,195
4203,69417,111,8,13,19,67,113
4204,426089,250,38,28,94,201,344
4205,393257,253,41,31,76,184,325
4206,190879,198,28,26,55,134,226
4207,414398,235,45,35,97,200,326
4208,168529,162,29,26,56,110,186
4209,53373,68,5,11,15,54,82
4210,222891,143,17,18,35,95,181
4211,377532,203,33,24,68,148,290
4212,69704,108,11,15,27,80,122
4213,285010,154,17,15,45,106,203
